id_sondeo;coordenada_x;coordenada_y;coordenada_z;prof_total;prof_sonda;G_Inicio;G_Fin;N_Freatico
C4-P12;592671,9;4689439,2;133,57;100;98;0;0;
C4-P11;592676,6;4689434;133,58;102,5;100;0;0;30
C4-P10;592683,2;4689431,5;133,588;103,5;75;65;70;35
C4-P9;592687,6;4689426,1;133,556;103,5;0;74;80;37
C4-P8;592694,4;4689424,5;133,562;;;0;0;
C4-P7;592698,6;4689418,9;133,584;;;0;0;
C4-P6;592705,5;4689418,1;133,609;102,5;96;0;0;64
C4-P5;592709,5;4689412,4;133,56;102;71;65;70;50
C4-P4;592716,5;4689412,3;133,587;103,5;0;0;0;40
C4-P3;592720,4;4689406,4;133,599;103,5;83;21;24;19
C4-P2;592727,4;4689406,8;133,536;102;87;65;70;
C4-P1;592731,2;4689400,9;133,616;103,5;101;0;0;
C3-P13;592738,2;4689401,6;133,606;;;0;0;
C3-P12;592742;4689395,8;133,565;;;0;0;
C3-P11;592748,9;4689396,8;133,594;103,5;101;0;0;
C3-P10;592749,9;4689392,3;133,575;103,5;100;0;0;
C3-P9;592759,6;4689392,3;133,67;103,5;93;0;0;25
C3-P8;592763,4;4689386,5;133,562;103,5;100;0;0;
C3-P7;592770,2;4689388,1;133,573;103,5;101;0;0;
C3-P6;592774,1;4689382,3;133,603;103,5;101;0;0;
C3-P5;592780,8;4689384,2;133,584;103,5;101;0;0;
C3-P4;592784,7;4689378,4;133,572;151,5;147;0;0;140
C3-P3;592794,1;4689379,7;133,524;151,5;147;0;0;30
C3-P2;592798;4689373,9;133,569;103,5;102;0;0;
C3-P1;592804,6;4689376,4;133,501;103,5;100;0;0;30
